transaction_id,amount,lanka_city,merchant_category,card_type,device_type,transaction_time,is_fraud
10001,4500,Colombo,Grocery,Debit,Mobile,14:32,0
10002,185000,Kandy,Electronics,Credit,Web,02:18,1
10003,3200,Galle,Pharmacy,Debit,POS,19:45,0
10004,98000,Jaffna,Online_Shopping,Credit,Mobile,01:05,1
10005,1500,Negombo,Restaurant,Debit,POS,20:30,0
10006,72000,Colombo,Electronics,Credit,Web,00:45,1
10007,2800,Kandy,Grocery,Debit,Mobile,10:15,0
10008,5600,Galle,Restaurant,Debit,POS,21:10,0
10009,120000,Jaffna,Online_Shopping,Credit,Web,03:50,1
10010,4300,Negombo,Pharmacy,Debit,POS,18:20,0
10011,89000,Colombo,Electronics,Credit,Web,01:40,1
10012,2600,Kandy,Grocery,Debit,Mobile,09:30,0
10013,3100,Galle,Pharmacy,Debit,POS,16:55,0
10014,105000,Jaffna,Online_Shopping,Credit,Mobile,02:10,1
10015,1800,Negombo,Restaurant,Debit,POS,20:05,0
10016,65000,Colombo,Electronics,Credit,Web,04:25,1
10017,3500,Kandy,Grocery,Debit,Mobile,11:45,0
10018,4800,Galle,Restaurant,Debit,POS,22:15,0
10019,132000,Jaffna,Online_Shopping,Credit,Web,01:55,1
10020,2200,Negombo,Pharmacy,Debit,POS,17:40,0
10021,91000,Colombo,Electronics,Credit,Mobile,00:35,1
10022,2900,Kandy,Grocery,Debit,Mobile,08:50,0
10023,3600,Galle,Pharmacy,Debit,POS,15:10,0
10024,118000,Jaffna,Online_Shopping,Credit,Web,02:40,1
10025,1600,Negombo,Restaurant,Debit,POS,19:55,0
10026,74000,Colombo,Electronics,Credit,Web,03:05,1
10027,4100,Kandy,Grocery,Debit,Mobile,12:20,0
10028,5200,Galle,Restaurant,Debit,POS,21:35,0
10029,140000,Jaffna,Online_Shopping,Credit,Web,01:15,1
10030,2400,Negombo,Pharmacy,Debit,POS,18:10,0
10031,83000,Colombo,Electronics,Credit,Mobile,00:55,1
10032,3000,Kandy,Grocery,Debit,Mobile,09:10,0
10033,3400,Galle,Pharmacy,Debit,POS,16:40,0
10034,125000,Jaffna,Online_Shopping,Credit,Web,02:25,1
10035,1900,Negombo,Restaurant,Debit,POS,20:45,0
10036,69000,Colombo,Electronics,Credit,Web,03:35,1
10037,2700,Kandy,Grocery,Debit,Mobile,10:05,0
10038,5000,Galle,Restaurant,Debit,POS,22:00,0
10039,150000,Jaffna,Online_Shopping,Credit,Web,01:30,1
10040,2100,Negombo,Pharmacy,Debit,POS,17:25,0
10041,97000,Colombo,Electronics,Credit,Mobile,00:15,1
10042,3300,Kandy,Grocery,Debit,Mobile,11:00,0
10043,3800,Galle,Pharmacy,Debit,POS,15:55,0
10044,110000,Jaffna,Online_Shopping,Credit,Web,02:05,1
10045,1700,Negombo,Restaurant,Debit,POS,19:35,0
10046,76000,Colombo,Electronics,Credit,Web,03:15,1
10047,2900,Kandy,Grocery,Debit,Mobile,09:45,0
10048,5400,Galle,Restaurant,Debit,POS,21:20,0
10049,135000,Jaffna,Online_Shopping,Credit,Web,01:50,1
10050,2300,Negombo,Pharmacy,Debit,POS,18:55,0
